run_id,atr_stop_neutral,trail_start_r,breakeven_r,sharpe,sortino,calmar,expectancy,cagr,win_rate,average_win_rate,average_loss_rate,max_drawdown_pct,end_equity,start_equity,total_trades,average_trade_duration,profit_factor,avg_R,median_R,strategy_version_run,score
20240101_20260101_0.0.1-2a40feb3,2.0,1.8,1.0,0.822567183706614,1.29133366926701,1.394815603288,0.3621070449023895,0.232934205749096,0.3484848484848485,0.0272820549613873,-0.0093796118743023,0.167,152161.7292,100000.0,132,"2 days, 8:36:21.818183",1.457895336543408,0.3991082316094291,-0.5846323302023138,0.0.1-2a40feb3,1.841
20240101_20260101_0.0.1-2a40feb3,2.0,1.8,1.0,0.822567183706614,1.29133366926701,1.394815603288,0.3621070449023895,0.232934205749096,0.3484848484848485,0.0272820549613873,-0.0093796118743023,0.167,152161.7292,100000.0,132,"2 days, 8:36:21.818183",1.457895336543408,0.3991082316094291,-0.5846323302023138,0.0.1-2a40feb3,1.841
20240101_20260101_0.0.1-d4af30cf,2.0,2.0,1.2,0.780450486855545,1.23086427317289,1.3002031831872891,0.3474633760785601,0.224935150691401,0.34375,0.0286240719581389,-0.0098031220566698,0.173,150189.1627,100000.0,128,"2 days, 11:24:50.625001",1.4337906004011445,0.3950182814347936,-1.010986331294375,0.0.1-d4af30cf,1.597
20240101_20260101_0.0.1-d4af30cf,2.0,2.0,1.2,0.780450486855545,1.23086427317289,1.3002031831872891,0.3474633760785601,0.224935150691401,0.34375,0.0286240719581389,-0.0098031220566698,0.173,150189.1627,100000.0,128,"2 days, 11:24:50.625001",1.4337906004011445,0.3950182814347936,-1.010986331294375,0.0.1-d4af30cf,1.597
20240101_20260101_0.0.1-6b65d04b,3.0,1.8,1.0,0.471537175262184,0.708436748587547,1.050083979201384,0.4597741716963646,0.144911589129791,0.3048780487804878,0.0296803968711641,-0.0078352514183391,0.138,131165.3061,100000.0,82,"5 days, 1:11:42.439025",1.527664401320415,0.3553442311403663,-0.3305242869966617,0.0.1-6b65d04b,1.205
20240101_20260101_0.0.1-6b65d04b,3.0,1.8,1.0,0.471537175262184,0.708436748587547,1.050083979201384,0.4597741716963646,0.144911589129791,0.3048780487804878,0.0296803968711641,-0.0078352514183391,0.138,131165.3061,100000.0,82,"5 days, 1:11:42.439025",1.527664401320415,0.3553442311403663,-0.3305242869966617,0.0.1-6b65d04b,1.205
20240101_20260101_0.0.1-f0b49d15,2.0,1.6,0.8,0.536771856662003,0.841954794984471,1.033168130206557,0.2725104377675801,0.172539077744495,0.3285714285714285,0.0261629742083748,-0.0091069504783405,0.167,137587.2506,100000.0,140,"2 days, 4:33:00.000002",1.3331908223771574,0.2907565847033527,-0.4974762978123578,0.0.1-f0b49d15,0.881
20240101_20260101_0.0.1-f0b49d15,2.0,1.6,0.8,0.536771856662003,0.841954794984471,1.033168130206557,0.2725104377675801,0.172539077744495,0.3285714285714285,0.0261629742083748,-0.0091069504783405,0.167,137587.2506,100000.0,140,"2 days, 4:33:00.000002",1.3331908223771574,0.2907565847033527,-0.4974762978123578,0.0.1-f0b49d15,0.881
20240101_20260101_0.0.1-352b85e9,2.5,2.0,1.2,0.360637320207217,0.537827144087151,0.8557985261516076,0.2866708366369886,0.135216167131954,0.2803738317757009,0.0331942533264341,-0.0092485617597048,0.158,128948.0927,100000.0,107,"3 days, 11:56:38.130842",1.3125579875709414,0.2159200713032969,-1.0285416654049115,0.0.1-352b85e9,0.481
20240101_20260101_0.0.1-352b85e9,2.5,2.0,1.2,0.360637320207217,0.537827144087151,0.8557985261516076,0.2866708366369886,0.135216167131954,0.2803738317757009,0.0331942533264341,-0.0092485617597048,0.158,128948.0927,100000.0,107,"3 days, 11:56:38.130842",1.3125579875709414,0.2159200713032969,-1.0285416654049115,0.0.1-352b85e9,0.481
